breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Bouvier des Flandres,standing as high as 275 inches with heavy bone and powerful muscles beneath a weatherproof coat and an impressive head accented by beard and mustache bouviers can do anything that needs doing in a barnyard or pasture except milk the cows and yet bouviers are more than just farm equipment their sterling character huge heart and keen intelligence endear them to dog lovers the world overthe bouvier work ethic must be accommodated and happily the breeds versatility allows them to do myriad tasks bouviers are excellent watchdogs and guardians and eager participants in dog sports especially herding trials these strongwilled dogs do best with owners who can devote ample time and space to a topoftheline working dog they dont build em like this anymore burly and barrelchested the touslecoated dog of flandres is from a time and place where a dog had to work like  well a dog these smart and steady allpurpose workers make excellent watchdogs,affectionate courageous strongwilled,84,59.69,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Boxer,a wellmade boxer in peak condition is an awesome sight a male can stand as high as 25 inches at the shoulder females run smaller their muscles ripple beneath a short tightfitting coat the dark brown eyes and wrinkled forehead give the face an alert curious look the coat can be fawn or brindle with white markings boxers move like the athletes they are named for smooth and graceful with a powerful forward thrustboxers are upbeat and playful their patience and protective nature have earned them a reputation as a great dog with children they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly boxers do best when exposed to a lot of people and other animals in early puppyhood loyalty affection intelligence work ethic and good looks boxers are the whole doggy package bright and alert sometimes silly but always courageous the boxer has been among americas most popular dog breeds for a very long time,bright funloving active,11,54.61,63.5,6.80388555,36.2873896,10.0,12.0,Working Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,1.0,Outgoing
Boykin Spaniel,boykins are mediumsized spaniels larger and rangier than cockers but more compact than springers the breeds hallmark is a beautiful solidbrown coat colors range from a rich liver to a luscious chocolate the large feathery ears hang close to the cheeks setting off an expression of soulful intelligence bred to work in the lakes and swamps of their native south carolina webtoed boykins can swim like sealsfor years boykins were known only to hunters of carolina waterfowl and wild turkey but lately the wider world has discovered that the boykin is as delightful at home as he is eager at the lake they are very very sweet dogs to have around the family a longtime owner says but an absolute tiger in the field a mediumsized flushing and retrieving dog known for its rich brown coat the boykin spaniel is avid eager merry and trainable this mellow housedog and tenacious bird dog was once south carolinas bestkept secret,friendly eager lovable,100,35.56,45.72,11.33980925,18.1436948,10.0,15.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
Bracco Italiano,tough and adapted to all types of hunting the bracco italiano is reliable intelligent docile and easy to train he has a powerful appearance with lean limbs welldeveloped muscles and a sculpted head in english he is the italian pointing dog the bracco italiano is one of the oldest of the pointing breeds it was introduced into the united states in the 1990s and has remained true to its heritage as a versatile gun dog it is gentle in the home and tireless in the field,affectionate intelligent enthusiastic,,53.34,68.58,24.947580350000003,40.8233133,10.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
Braque du Bourbonnais,the bourbonnais is an ancient breed that evolved in france during the 15th century in the historic province of bourbonnais by the 1800s the breed was known amongst french hunters as a tailless pointer with distinctive fawn and liver ticking the braque du bourbonnais has now gained a strong foothold in north america some years there are more pups registered in the united states than its homeland of france in english he is the bourbonnais pointing dog he is kind and affectionate in the home and a serious adaptable intelligent hunter in the field club contact detailsclub braque du bourbonnais club of americaname cindy petkwitzemail villagelock58comcastnetaddress 572 hollywood grosse pointe mi 48236phone 313 8818603 pronounced brockdoborbonnay this pointer has a calm gentle demeanor that is ideally suited for the foot hunter the breeds relatively small size and short coat well suits them as an ideal home companion for the family that hunts,affectionate adaptable gentle,,48.26,57.15,15.875732950000002,24.04039561,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
Braque Francais Pyrenean,the braque francais pyrenean is a wellproportioned mediumsized dog with a soft shorthaired coat he was bred to hunt the very rugged and arid pyrenees mountain range on the border of france and spain the breed dates back hundreds of years and is considered the common ancestor to all of todays shorthaired pointing breeds there are actually two types of braque francais the gascony type and the pyrenean type the braque francais pyrenean is the smaller and more popular of the two he has a natural retrieve instinct and loves water he is gentle friendly sociable and submissive the braque francais pyrenean is a rustic breed and hails from france in english he is the french pointing dog pyrenean type,friendly smart willing to please,,46.99,58.42,18.1436948,24.947580350000003,12.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,,0.6,
Briard,briards are herders known for a wavy coat of either gray tawny or black and an impressive head topped by a peekaboo hairdo parted naturally in the middle a luxurious beard and eyebrows accentuate an expression described as frank and questioning standing between 22 and 27 inches at the shoulder briards are burly and rugged but move with a nimblefooted gaitthey possess traits common to many other herders trainability brains a protective eye toward family especially kids whom they regard as their flock and wariness with outsiders these are large tireless dogsit is said that just two or three briards can handle 700 head of sheepand novice owners might be overwhelmed by their work drive and zest for life the briard packs so much loyalty love and spirit into its ample frame that its often described as a heart wrapped in fur the dashing good looks of these muscular frenchmen radiate a distinct aura of gallic romance and elegance,confident smart faithful,132,55.88,68.58,24.947580350000003,45.359237,12.0,12.0,Herding Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Brittany,brittanys are smaller than setters but leggier than spaniels standing about 20 inches at the shoulder their beautiful boldly patterned coat comes in combinations of white and vivid orange and liver reddishbrown they are rugged and strong but smooth clean and quick afoot the face has the softness prized by birddog lovers highset ears convey the breeds essential eagernessthe zeal and versatility that make brittanys peerless hunters can be channeled into dog sports obedience agility flyball dock divingyou name it this trainable breed is up for it the brittany is a nice fit for those seeking an allpurpose hunting partner a dogsport teammate or a companion in sync with an upbeat outdoorsy family life sportsmen on both sides of the atlantic cherish the agile energetic brittany as a stylish and versatile gundog bright and eager at home and tireless afield brittanys require a lot of exercises preferably with their favorite humans,bright funloving upbeat,26,44.45,52.07,13.6077711,18.1436948,12.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly
Broholmer,a large mastifftype dog the broholmer is rectangular and strongly built with a wide massive head around the year 1800 a danish dog book described him as a very ordinary breed especially around copenhagen his nickname was the butchers dog as he was often seen lying at the doorsteps of butcher shops he was a protector of the home and a herder and guard dog of cattle at the farm and in the citys markets today his size is the only thing that keeps intruders at bay the broholmer has a heart of gold loves to snuggle and always wants to be near you though his preference is to sit on you he is an excellent dog with children and other dogs though because he seems to underestimate his size supervision is recommended this breed is also remarkably agile for his size and can do agility fetch balls and jump and catch frisbees anything you do camping hiking picnicking walks in the park he will be more than happy to go along with you club contact detailsbroholmer club of the usaname kathy kimmethemail amberdogsnewrrcomphone 920 4100142 text only calm goodnatured yet watchful and confident the broholmer hails from denmark and makes a great family companion,friendly watchful loving,,69.85,74.93,40.8233133,68.0388555,8.0,10.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,0.6,,0.6,
Brussels Griffon,with this breed you get a big personality in a 5to15pound package one look into his big humanlike eyes and youll be smitten griffs come in four colorsred blackandreddishbrown called belge black and tan and blackand in smooth coats like a pug or rough coats like a schnauzer their black muzzle and whiskers earned them the nickname bearded dogs in old folk songsthe griffs big black eyesdescribed as almost humancoupled with a fringed beard and mustache covering his short muzzle gives him the air of a worldly frenchspeaking philosopher the griffs body is thickset and sturdy and he moves with the purposeful trot of a fellow who knows what he wantsgriffs are alert sociable and easily trained although playful and energetic their small size and sensitive nature make them a poor choice as roughhousing playmates for kids they have a low threshold for loneliness and will stick close to their special human providing years of love and laughter tipping the scales at no more than 12 pounds this humanlike toy of complex character has enough personality for 10 ordinary dogs a sensitive companion for discerning grownups the brussels griffon is smart devoted and comically selfimportant,loyal alert curious,98,17.78,25.4,3.62873896,4.535923700000001,12.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Bull Terrier,bull terriers are robust bigboned terriers who move with a jaunty stride suggesting agility and power the breeds hallmark is a long eggshaped head with erect and pointed ears and small triangular eyes that glisten with good humor coats come in two types white and any other color including an attractive brindle striping either solid or with white markings a wellmade bt is the picture of muscular determination and balance there are four keys to bt happiness early socialization with dogs and people firm but loving training ample exercise and lots of quality time with his adored humans if these requirements are met there is no more loyal lovable and entertaining companion this is the ultimate personality breed among the most comical and mischievous citizens of dogdom the bull terrier is playful and endearing sometimes stubborn but always devoted these unique eggheads are exuberant muscular companions who thrive on affection and exercise,playful charming mischievous,62,53.34,55.88,22.6796185,31.751465900000003,12.0,13.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
Bulldog,you cant mistake a bulldog for any other breed the loose skin of the head furrowed brow pushedin nose small ears undershot jaw with hanging chops on either side and the distinctive rolling gait all practically scream im a bulldog the coat seen in a variety of colors and patterns is short smooth and glossy bulldogs can weigh up to 50 pounds but that wont stop them from curling up in your lap or at least trying to but dont mistake their easygoing ways for lazinessbulldogs enjoy brisk walks and need regular moderate exercise along with a careful diet to stay trim summer afternoons are best spent in an airconditioned room as a bulldogs short snout can cause labored breathing in hot and humid weather kind but courageous friendly but dignified the bulldog is a thickset lowslung wellmuscled bruiser whose sourmug face is the universal symbol of courage and tenacity these docile loyal companions adapt well to town or country,friendly courageous calm,5,35.56,38.1,18.1436948,22.6796185,8.0,10.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Bullmastiff,the bullmastiff isnt quite as large as his close cousin the mastiff still standing as high as 27 inches at the shoulder and weighing between 100 and 130 pounds this is still a whole lot of dog after the first impression made by the bullmastiffs size it is the large broad head that conveys the breeds essence the dark eyes highset vshaped ears and broad deep muzzle all combine to present the intelligence alertness and confidence that make the bullmastiff a worldclass protector and family companion coats come in fawn red or brindlethese are biddable and reliable creatures but as with any large guarding dog owners must begin training and socialization early while the puppy is still small enough to control fearless at work docile at home the bullmastiff is a large muscular guarder who pursued and held poachers in merry old englandmerry we suppose for everyone but poachers bullmastiffs are the result of bulldog and mastiff crosses,affectionate loyal brave,51,60.96,68.58,45.359237,58.9670081,7.0,9.0,Working Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Cairn Terrier,the cairns unique qualities called cairnishness include a short wide head and a freemoving shortlegged body that exudes strength but not heaviness topping out at about 10 inches high and about 15 inches long the double coat is harsh and wiry on top and downy beneath a cairn presents as a small shaggy alert dog with head tail and ears up and eyes shining with intelligencea british breed club promotes cairns as the best little pal in the world cairns are small enough for a laptop snuggle and sturdy enough for a good romp on the lawn they do best with lots of close family contact for owners who cherish the terrier qualities of gameness independent thinking and trueblue loyalty no other breed will do cairn terriers are happy busy little earthdogs originally bred to fearlessly root out foxes and other small furred prey in the rocky scottish countryside curious and alert cairns like having a place where they can explore and dig,alert cheerful busy,69,24.13,25.4,5.8967008100000005,6.35029318,13.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Canaan Dog,canaan dogs are lean bushytailed dogs standing 19 to 24 inches at the shoulder the coat is straight and harsh and comes in various colors and patterns erect expressive ears and dark almond eyes convey an inquisitive expression canaans move at a brisk natural trot they are rugged agile and apparently tireless making them a nice fit for hikers and runnerscanaans are clever confident and territorial they will end up owning passive owners who havent establish themselves as top dog in the family pack early training and socialization are key when positive methods are applied these ancient wonderdogs train beautifully agility obedience herding trials and sentry duty are a few outlets for their work ethic one of the akcs oldest breeds the canaan dog is the national dog of israel this quick mediumsized pasture dog is docile with family aloof with strangers the everalert canaan is a vocal and persistent guardian of flock and home,confident alert vigilant,179,48.26,60.96,15.875732950000002,24.947580350000003,12.0,15.0,Herding Group,0.4,Weekly Brushing,1.0,Frequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Cane Corso,at nearly 28 inches at the shoulder and often weighing more than 100 pounds with a large head alert expression and muscles rippling beneath their short stiff coat corsi are at a glance intimidating creatures their imposing appearance is their first line of defense against intruders as one writer put it an understated air of cool competence the kind of demeanor youd expect from a professional bodyguard is the breeds trademarkcorsi are intelligent loyal eager to please versatile and intensely loyal to their humans but are also assertive and willful and can end up owning an unwitting owner as with any other big guardian dog responsible breeding and early socialization with people and other dogs is vital smart trainable and of noble bearing the assertive and confident cane corso is a peerless protector the corsos lineage goes back to ancient roman times and the breeds name roughly translates from the latin as bodyguard dog,affectionate intelligent majestic,32,59.69,69.85,0.0,0.0,9.0,12.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Cardigan Welsh Corgi,long lowset dogs with sturdy bone short legs and a deep chest cardigans are powerful workers of deceptive speed and grace cardis can weigh anywhere from 25 to 34 pounds with females at the lower end of the scale they come in several coat colors from red to the popular bluemerle pattern the quickest way to distinguish cardis from their cousins pembroke welsh corgis is to check out the hindquarters cardigans have tails pembrokes do notcardis are trainable faithful and vigilant guardians with a big dog bark wellsocialized cardis are especially fond of kids and agreeable with other pets these athletic rugged herders have a love for the outdoors and they thrive on mental stimulation and physical activity the cardigan welsh corgi is a masterpiece of the breeders art every aspect of its makeup is perfectly suited to moving cattle and yet it is so congenial and sweetfaced that it would be a cherished companion even if it never did a days work,affectionate loyal smart,68,26.67,31.75,11.33980925,17.23651006,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Carolina Dog,carolina dogs are descended from the canines that accompanied the paleoindians who traveled from asia to north america over the bering land bridge today they can still be found living wild near the georgiasouth carolina border but have also been seen as far north as ohio and pennsylvania and as far west as arizona rural areas are the common denominator the typical carolina dog has pointed ears a foxlike snout and a tail that curves like a fishhook when it is raised they look similar to australian dingoes but taxonomically they fall under canis familiaris hesitant with strangers they will sound the alarm when unaware of whos at the door but once they see their people they are ecstatic carolina dogs have an extreme pack mentality as this was a necessity for survival in the wild club contact detailsclub carolina dog club of americaname lane watkins presidentemail presidentthecarolinadogclubofamericacom carolina dogs are generally shy and suspicious in nature but once a dog accepts a human into its pack those behaviors disappear toward that human a sighthound of medium build they have the general appearance of a jackal or wolf,loyal independent reserved with strangers,,45.085,49.53,13.6077711,24.947580350000003,12.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
Catahoula Leopard Dog,the catahoula leopard dog is a mediumlarge shortcoated dog known for its many varied coat and eye colors and patterns the word catahoula is of choctaw origin and is translated to mean sacred lake catahoulas are the only breed of dog to have historically originated in the state of louisiana the breed requires firm guidance and early socialization as they can be independent territorial and protective for the same reasons they do not allow mistreatment and will assert themselves in selfdefense once they know their place in the family unit they are affectionate loyal and gentle also called the catahoula hog dog they are used as stock dogs bay dogs tree dogs watchdogs guard dogs and of course as loyal companions the catahoula leopard dog is a multipurpose working dog that is wellmuscled and powerful but with a sense of agility and endurance they are serious while working and playful at home,loyal independent watchful,,55.88,60.96,22.6796185,43.09127515,10.0,14.0,Foundation Stock Service,0.4,,0.6,,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers
Caucasian Shepherd Dog,caucasian shepherd dogs were used for centuries to protect properties from trespassers guard livestock from large and small predators such as wolves and coyotes and for many other duties in modern days especially in the west theyre most commonly companions and watchdogs there is a great variety of types among the caucasian dogs depending on their home region for almost a century there has been two breed types and standards the mountain type which is longcoated and has a heavier body mass than the steppe type a shortercoated dog with a lighter body mass other names for the breed include caucasian ovcharka caucasian sheepdog kawkasky owtscharka and kaukasische schaferhund the caucasian shepherd dog is a serious guardian breed and should never be taken lightly the caucasian is bold fearless selfconfident and fierce when a threat is present but he is soft devoted kind and endearing to his family including other family pets,fearless bold kind,,58.42,76.2,44.905644630000005,77.1107029,10.0,12.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.4,Calm,0.4,Independent,0.2,Aloof/Wary
Cavalier King Charles Spaniel,the cavaliers allaround beauty regal grace and even temper mark him as one of dogdoms noblemen a toy spaniel no more than 13 inches high the cavalier draws you in with his face the sweet gentle melting expression emanating from large round eyes is a breed hallmark another is the silky richlycolored coat that can be one of four distinct varietiescavaliers may be aristocrats but they gladly descend from their royal high horse for a backyard frolic or a squirrel chase they get along nicely with children and other dogs adaptable cavaliers do equally well with active owners and homebodiesthey can be upbeat athletes or shameless couch potatoes depending on an owners lifestyle the cavalier king charles spaniel wears his connection to british history in his breeds name cavaliers are the best of two worlds combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel,affectionate gentle graceful,18,30.48,33.02,5.8967008100000005,8.164662660000001,12.0,15.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.4,Calm,1.0,Eager to Please,0.8,Friendly
Central Asian Shepherd Dog,central asian shepherd dogs are a natural protective breed that require a nonstop observance for the life of the dog they are not for firsttime dog owners they were formed as a breed from natural selection during more than four thousand years in a vast territory which spreads nowadays from the caspian sea to china and from southern ural to afghanistan the central asian shepherd dog is selfassured balanced quiet proud and independent they are very courageous and have a high working capacity endurance and a natural instinct of territory this breed is known for its fearlessness towards large predators,independent courageous selfconfident,,64.77,69.85,39.91612856,49.895160700000005,12.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,0.4,Independent,0.2,Aloof/Wary
Cesky Terrier,ceskys are muscular shortlegged and handsome hunters standing no taller than 13 inches at the shoulder the fine silky coat comes in several shades of gray including a stunning platinum wavy facial hair gives ceskys a sporty continental look and the mediumlong neck lends a dash of elegance to these game unspoiled working terrierswhile ceskys are as determined and preydriven as any other earthdog theyre mellower than a typical terrier wary of strangers and protective of loved ones theyre good watchdogs without being particularly yappy they train well and want to please heres the catch they are a scarce breed with only about 600 living in america a wonderful family dog if youre lucky enough to find one the cesky terrier national dog of the czech republic is a clever and adventurous playmate for kids and an eager walking buddy for the folks they are tenacious at work but a little more laid back and tractable than the usual terrier,clever adventurous familyoriented,185,25.4,33.02,6.35029318,10.88621688,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
Chesapeake Bay Retriever,chessies are strong powerfully built gundogs standing anywhere from 21 to 26 inches at the shoulder a male can weigh up to 80 pounds the distinctive breed trait is a wavy coat that is oily to the touch chessies are solidcolored either chocolatey brown sedge or deadgrass with keen yellowamber eyes that nicely complement the coatchessies are more emotionally complex than the usual gundog chessies take to training but they have a mind of their own and can tenaciously pursue their own path they are protective of their humans and polite but not overtly friendly to strangers chessies make excellent watchdogs and are versatile athletes a wellsocialized chessie is a confident companion and worldclass hunting buddy the chesapeake bay retriever peerless duck dog of the midatlantic is an american original who embodies the classic traits of a good retriever loyal upbeat affectionate and tireless the chessie is famous for his waterproof coat,affectionate bright sensitive,45,53.34,66.04,24.947580350000003,36.2873896,10.0,13.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
Chihuahua,the chihuahua is a balanced graceful dog of terrierlike demeanor weighing no more than 6 pounds the rounded apple head is a breed hallmark the erect ears and full luminous eyes are acutely expressive coats come in many colors and patterns and can be long or short the varieties are identical except for coatchihuahuas possess loyalty charm and bigdog attitude even tiny dogs require training and without it this clever scamp will rule your household like a little napoleon compact and confident chihuahuas are ideal city pets they are too small for roughhousing with kids and special care must be taken in cold weather but chihuahuas are adaptableas long as they get lots of quality time in their preferred lap the chihuahua is a tiny dog with a huge personality a national symbol of mexico these alert and amusing purse dogs stand among the oldest breeds of the americas with a lineage going back to the ancient kingdoms of precolumbian times,charming graceful sassy,33,12.7,20.32,2.72155422,2.72155422,14.0,16.0,Toy Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Chinese Crested,the chinese crested a lively and alert toy breed standing between 11 and 13 inches high can be hairless or coated the hairless variety has smooth soft skin and tufts of hair on the head tail and ankles the coated variety called the powderpuff is covered by a soft silky coat besides the coat theres very little difference between the powderpuff and his undressed brother both varieties are characterized by fineboned elegance and graceful movementcresteds are as fun as they look playful loving and devoted to their humans the hairless has its advantages there is no doggy odor and for obvious reasons shedding isnt much of a problem both varieties are attentive housemates totally in tune with their family with their spotted pink skin spiky crested hairdo furry socks and feathery tail you cant mistake the sweet and slender chinese crested for any other breed this frolicsome ultraaffectionate companion dog is truly a breed apart,affectionate alert lively,79,27.94,33.02,3.62873896,5.4431084400000005,13.0,18.0,Toy Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Chinese Shar-Pei,the compact mediumsized chinese sharpei is an amalgam of odd physical traits a broad hippopotamus muzzle a blueblack tongue small sunken eyes with a scowling expression tiny triangular ears abundant folds of loose skin about the head neck and shoulders the tapered highset tailall blanketed by a harsh sandpapery coat a literal translation of sharpei sand skinsharpei are strong regal independent guardians famous for intelligence and loyalty they are suspicious of strangers and other dogs sharpei are serene dogs but they will meet a perceived threat with tenacity and vigor early training and socialization are essentiala dominant adult sharpei without them is a serious problem waiting to happen this fascinating but challenging breed of ancient pedigree is steadfastly loyal to family but standoffish with strangers the chinese sharpei has physical characteristics that make him a oneofakind companion and guardian dog,loyal independent calm,64,45.72,50.8,20.41165665,27.2155422,8.0,12.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers
Chinook,tawnycoated nofrills chinooks are muscular and substantial with males standing as high as 26 inches at the shoulder females with their distinctly feminine look are a bit smaller chinooks were conceived as dualpurpose haulers with the power of freighting dogs and the speed of sled racers they are the picture of stouthearted dignity with a kindly twinkle in their dark almond eyeschinooks are calm peopleoriented dogs with a special feel for children they are trainable workers who aim to please sledding carting obedience agility searchandrescue work and herding are a few pursuits theyve mastered chinooks are not particularly busy dogs but they need consistent exercise to stay in proper hard condition the pride of wonalancet new hampshire the chinook is a rugged working dog and devoted family pet known for intelligence patience and eagerness to please once on the verge of extinction the chinook is among the scarcest akc breeds,smart patient devoted,190,55.88,66.04,22.6796185,40.8233133,12.0,15.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
Chow Chow,chows are powerful compactly built dogs standing as high as 20 inches at the shoulder their distinctive traits include a lionsmane ruff around the head and shoulders a blueblack tongue deepset almond eyes that add to a scowling snobbish expression and a stifflegged gait chows can have rough or smooth coats of red black blue cinnamon or creamowners say chows are the cleanest of dogs they housebreak easily have little doggy odor and are known to be as fastidious as cats wellsocialized chows are never fierce or intractable but always refined and dignified they are aloof with strangers and eternally loyal to loved ones serene and adaptable with no special exercise needs chows happily take to city life the chow chow an allpurpose dog of ancient china presents the picture of a muscular deepchested aristocrat with an air of inscrutable timelessness dignified seriousminded and aloof the chow chow is a breed of unique delights,dignified bright seriousminded,75,43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers
Cirneco dell’Etna,standing under 20 inches the cirneco cheerneko cirnechi is the plural is often described as resembling a smaller version of the pharaoh hound its cousin from the island of malta this slender but rugged hunters coat ranges from light to dark tan or chestnut the large upright ears point up the alert expression of the eyes whose amber or ochre color smartly complements the coatin many ways these lithe and leggy sicilians are typical sighthounds sweetnatured independent and of course breathtakingly swift it is said though that cirnechi are a bit more trainable than the usual sighthound these living artifacts of antiquity have sprinted into the 21st century relatively unchanged by passing fads and fancies the sleek and sinewy cirneco delletna the ancient coursing hound of sicily is an athletic hunter given to quick bursts of speed as housedogs cirnechi are mild lowmaintenance companions cherished for their loyal and gentle nature,affectionate friendly independent,183,41.91,49.53,7.71107029,11.79340162,12.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Clumber Spaniel,clumber spaniels are powerful bird dogs of heavy bone built long and low with a massive head they stand 17 to 20 inches a small female might be 55 pounds and a large male could go 85 pounds built to push through thick cover in the field clumber movement is nonetheless free and easy the dense coat is primarily white with sparse lemon or orange markingsclumbers are sweet and easygoing at home but these outdoorsy fellows can be relentless on scent smart and eagertoplease clumbers respond well to training though a bit wary around strangers clumbers are friendly dogs who bark only when they have something to say and so make indifferent watchdogs they love swimming and fetching and are sturdy childhood playmates a dignified and mellow hunting companion of kings the clumber spaniel is the largest of the akc flushing spaniels for those who can handle some shedding and drooling the amiable clumber is an amusing best friend and a gentlemanly housemate,mellow amusing gentlemanly,143,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
Cocker Spaniel,those big dark eyes that sweet expression those long lush ears that practically demand to be touchedno wonder the cocker spent years as americas most popular breed the cocker is the akcs smallest sporting spaniel standing about 14 to 15 inches the coat comes in enough colors and patterns to please any taste the wellbalanced body is sturdy and solid and these quick durable gundogs move with a smooth easy gaitcockers are eager playmates for kids and are easily trained as companions and athletes they are big enough to be sporty but compact enough to be portable a cocker in full coat rewards extra grooming time by being the prettiest dog on the block these energetic sporting dogs love playtime and brisk walks the merry and frolicsome cocker spaniel with his big dreamy eyes and impish personality is one of the worlds bestloved breeds they were developed as hunting dogs but cockers gained their wide popularity as allaround companions,gentle smart happy,30,34.29,39.37,9.0718474,13.6077711,10.0,14.0,Sporting Group,0.8,Daily Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing
Collie,the collie is a large but lithe herder standing anywhere from 22 to 26 inches tall the rough variety boasts one of the canine kingdoms most impressively showy coats the smooth coats charms are subtler but no less satisfying coat colors in both varieties are sable and white tricolor blue merle or white collie fanciers take pride in their breeds elegant wedgeshaped head whose mobile ears and almond eyes convey a wide variety of expressionscollies are famously fond of children and make wonderful family pets these swift athletic dogs thrive on companionship and regular exercise with gentle training they learn happily and rapidly the collies loyalty intelligence and sterling character are the stuff of legend the majestic collie thanks to a hundred years as a popculture star is among the worlds most recognizable and beloved dog breeds the fullcoated rough collie is the more familiar variety but there is also a sleek smooth collie,devoted graceful proud,38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
